,Abbreviation,Word
0,abbr., abbreviation
1,AWOL, absent without leave
2,Acad., Academy
3,alt., altitude
4,AM, amplitude modulation
5,A.D., anno Domini
6,A.M., ante meridiem (before noon)
7,apt., apartment
8,Assn., Association
9,Aug., August
10,Ave., Avenue
11,B.A., Bachelor of Arts
12,B.S., Bachelor of Science
13,B.C., Before Christ
14,Blvd., Boulevard
15,Capt., Captain
16,C," Celsius, Centigrade"
17,ctr., center
18,cm, centimeter
19,cent., century
20,Col., Colonel
21,Cpl., Corporal
22,Corp., Corporation
23,Ct., Court
24,cu, cubic
25,dept., department
26,D.C., District of Columbia
27,Dr., Doctor
28,div., division
29,Dr., Drive
30,E, east
31,ed., edition
32,etc., et cetera (and so on)
33,F, Fahrenheit
34,Feb., February
35,ft., foot
36,Ft., Fort
37,FM, frequency modulation
38,gal., gallon
39,Gen., General
40,Gov., Governor
41,GMT, Greenwich Mean Time
42,hwy., highway
43,hr, hour
44,i.e., id est (that is)
45,in., inch
46,inc., incorporated
47,Jan., January
48,Jr., Junior
49,K, Kelvin
50,kg, kilogram
51,km, kilometer
52,Lk., Lake
53,Ln., Lane
54,lib., library
55,lat., latitude
56,lib., library
57,Lt., Lieutenant
58,Ltd., Limited
59,long., longitude
60,m, meter
61,min, minute
62,M.D., Medical Doctor
63,M.D., Medicinae Doctor
64,mi, mile
65,mph, miles per hour
66,mg, milligram
67,mm, millimeter
68,Mr., Mister
69,Msgr., Monsignor
70,mo., month
71,mt., mountain
72,mus., museum
73,N, north
74,Nov., November
75,no., number
76,Oct., October
77,oz., ounce
78,p., page
79,pt., pint
80,pl., plural
81,pop., population
82,P.M., post meridiem (after noon)
83,Prof., Professor
84,qt., quart
85,Rd., Road
86,R.N., Registered Nurse
87,rpm, revolutions per minute
88,sec, second
89,Sept., September
90,Sgt., Sergeant
91,Sr., Sister
92,S, south
93,sq, square
94,Sta., Station
95,St., Street
96,ste., suite
97,Sun., Sunday
98,Ter., Terrace
99,Tpk., Turnpike
100,Univ., University
101,U.S.A, United States of America
102,usa , United States of America
103,vol., volume
104,wt., weight
105,W, west
106,ALY, ALLEY
107,ANX, ANNEX
108,APT, APARTMENT
109,ARC, ARCADE
110,AVE, AVENUE
111,BSMT, BASEMENT
112,BYU, BAYOU
113,BCH, BEACH
114,BND, BEND
115,BLF, BLUFF
116,BTM, BOTTOM
117,BLVD, BOULEVARD
118,BR, BRANCH
119,BRG, BRIDGE
120,BRK, BROOK
121,BLDG, BUILDING
122,BG, BURG
123,BYP, BYPASS
124,CP, CAMP
125,CYN, CANYON
126,CPE, CAPE
127,CSWY, CAUSEWAY
128,CTR, CENTER
129,CIR, CIRCLE
130,CLFS, CLIFF
131,CLFS, CLIFFS
132,CLB, CLUB
133,COR, CORNER
134,CORS, CORNERS
135,CRSE, COURSE
136,CT, COURT
137,CTS, COURTS
138,CV, COVE
139,CRK, CREEK
140,CRES, CRESCENT
141,XING, CROSSING
142,DL, DALE
143,DM, DAM
144,DEPT, DEPARTMENT
145,DV, DIVIDE
146,DR, DRIVE
147,EST, ESTATE
148,EXPY, EXPRESSWAY
149,EXT, EXTENSION
150,FLS, FALLS
151,FRY, FERRY
152,FLD, FIELD
153,FLDS, FIELDS
154,FLT, FLAT
155,FL, FLOOR
156,FRD, FORD
157,FRST, FOREST
158,FRG, FORGE
159,FRK, FORK
160,FRKS, FORKS
161,FT, FORT
162,FWY, FREEWAY
163,FRNT, FRONT
164,GDNS, GARDEN
165,GDNS, GARDENS
166,GTWY, GATEWAY
167,GLN, GLEN
168,GRN, GREEN
169,GRV, GROVE
170,HNGR, HANGER
171,HBR, HARBOR
172,HVN, HAVEN
173,HTS, HEIGHTS
174,HWY, HIGHWAY
175,HL, HILL
176,HLS, HILLS
177,HOLW, HOLLOW
178,INLT, INLET
179,IS, ISLAND
180,ISS, ISLANDS
181,JCT, JUNCTION
182,KY, KEY
183,KNLS, KNOLL
184,KNLS, KNOLLS
185,LK, LAKE
186,LKS, LAKES
187,LNDG, LANDING
188,LN, LANE
189,LGT, LIGHT
190,LF, LOAF
191,LBBY, LOBBY
192,LCKS, LOCK
193,LCKS, LOCKS
194,LDG, LODGE
195,LOWR, LOWER
196,MNR, MANOR
197,MDWS, MEADOW
198,MDWS, MEADOWS
199,ML, MILL
200,MLS, MILLS
201,MSN, MISSION
202,MT, MOUNT
203,MTN, MOUNTAIN
204,NCK, NECK
205,OFC, OFFICE
206,ORCH, ORCHARD
207,PKWY, PARKWAY
208,PH, PENTHOUSE
209,PNES, PINE
210,PNES, PINES
211,PL, PLACE
212,PLN, PLAIN
213,PLNS, PLAINS
214,PLZ, PLAZA
215,PT, POINT
216,PRT, PORT
217,PR, PRAIRIE
218,RADL, RADIAL
219,RNCH, RANCH
220,RPDS, RAPID
221,RPDS, RAPIDS
222,RST, REST
223,RDG, RIDGE
224,RIV, RIVER
225,RD, ROAD
226,RM, ROOM
227,SHL, SHOAL
228,SHLS, SHOALS
229,SHR, SHORE
230,SHRS, SHORES
231,SPC, SPACE
232,SPG, SPRING
233,SPGS, SPRINGS
234,SQ, SQUARE
235,STA, STATION
236,STRA, STRAVENUE
237,STRM, STREAM
238,ST, STREET
239,STE, SUITE
240,SMT, SUMMIT
241,TER, TERRACE
242,TRCE, TRACE
243,TRAK, TRACK
244,TRFY, TRAFFICWAY
245,TRL, TRAIL
246,TRLR, TRAILER
247,TUNL, TUNNEL
248,TPKE, TURNPIKE
249,UN, UNION
250,UPPR, UPPER
251,VLY, VALLEY
252,VIA, VIADUCT
253,VW, VIEW
254,VLG, VILLAGE
